"vehicle_local_position->x_x","vehicle_local_position->x_y","vehicle_local_position->z_x","vehicle_local_position->z_y"
170.264,0.9990163445,170.264,-1.037475467,
170.364,0.9995981455,170.364,-1.039352298,
170.464,1.000214934,170.464,-1.039985418,
170.564,1.000639439,170.564,-1.039563656,
170.664,1.000404,170.664,-1.041202545,
170.764,0.9996931553,170.764,-1.043730855,
170.864,0.998934865,170.864,-1.042946219,
170.964,0.9982535243,170.964,-1.041039586,
171.064,0.997014761,171.064,-1.044846773,
171.164,0.995475769,171.164,-1.050218344,
171.264,0.9941079021,171.264,-1.052085638,
171.364,0.9928917885,171.364,-1.051375985,
171.464,0.991116941,171.464,-1.052956581,
171.564,0.9890657663,171.564,-1.056234598,
171.664,0.9874989986,171.664,-1.057741523,
171.764,0.9865223169,171.764,-1.057005763,
171.864,0.9845713973,171.864,-1.057575107,
171.964,0.9821684957,171.964,-1.059143782,
172.064,0.9805598259,172.064,-1.058935761,
172.164,0.979562521,172.164,-1.05852735,
172.264,0.9775652289,172.264,-1.06231463,
172.364,0.9750350714,172.364,-1.068232536,
172.464,0.973638773,172.464,-1.070858359,
172.564,0.9730109572,172.564,-1.071483374,
172.664,0.9710917473,172.664,-1.073835135,
172.764,0.9685818553,172.764,-1.077578783,
172.864,0.9671875238,172.864,-1.078750134,
172.964,0.9666900039,172.964,-1.077450633,
173.064,0.9653723836,173.064,-1.078288555,
173.164,0.9636607766,173.164,-1.080749869,
173.264,0.9631292224,173.264,-1.08004272,
173.364,0.9637339115,173.364,-1.078476667,
173.464,0.9636282325,173.464,-1.07902348,
173.564,0.9630598426,173.564,-1.081954718,
173.664,0.9635541439,173.664,-1.083268046,
173.764,0.9649111032,173.764,-1.082104087,
173.864,0.9646446109,173.864,-1.083217978,
173.964,0.9631884694,173.964,-1.084315896,
174.064,0.9628080726,174.064,-1.082916141,
174.164,0.9632766843,174.164,-1.081166625,
174.264,0.9626120329,174.264,-1.083397388,
174.364,0.9613593817,174.364,-1.087295413,
174.464,0.9603010416,174.464,-1.090310097,
174.564,0.9583920836,174.564,-1.095657229,
174.664,0.957962513,174.664,-1.097156167,
174.764,0.9586288929,174.764,-1.094793916,
174.864,0.9597557187,174.864,-1.093410969,
174.964,0.960349977,174.964,-1.094599962,
175.064,0.96189183,175.064,-1.094011664,
175.164,0.9640645385,175.164,-1.092579842,
175.264,0.9656242728,175.264,-1.092454791,
175.364,0.9656015635,175.364,-1.094696045,
175.464,0.9665167332,175.464,-1.093916774,
175.564,0.9681604505,175.564,-1.090989828,
175.664,0.9696527719,175.664,-1.088397861,
175.764,0.9702898264,175.764,-1.088246703,
175.864,0.9713631272,175.864,-1.08674109,
175.964,0.9728940129,175.964,-1.083962679,
176.064,0.9745174646,176.064,-1.082460999,
176.164,0.9760206342,176.164,-1.083892703,
176.264,0.9776105285,176.264,-1.083821058,
176.364,0.9791943431,176.364,-1.08267045,
176.464,0.9809815288,176.464,-1.082444668,
176.564,0.9826353788,176.564,-1.085356474,
176.664,0.984352231,176.664,-1.086254001,
176.764,0.985943377,176.764,-1.084455609,
176.864,0.9875118136,176.864,-1.082500339,
176.964,0.9893176556,176.964,-1.082433343,
177.064,0.990988791,177.064,-1.081084132,
177.164,0.9926273823,177.164,-1.07931304,
177.264,0.994685173,177.264,-1.078132868,
177.364,0.9977213144,177.364,-1.079328179,
177.464,1.000328183,177.464,-1.078432441,
177.564,1.002304673,177.564,-1.076532483,
177.664,1.004505396,177.664,-1.07491982,
177.764,1.007501125,177.764,-1.074717999,
177.864,1.009951353,177.864,-1.072860479,
177.964,1.01186657,177.964,-1.06983614,
178.064,1.013556838,178.064,-1.066395402,
178.164,1.015497565,178.164,-1.064062357,
178.264,1.01663661,178.264,-1.060720444,
178.364,1.017108917,178.364,-1.056570292,
178.464,1.0176723,178.464,-1.053553939,
178.564,1.018928647,178.564,-1.053272605,
178.664,1.019203305,178.664,-1.05328691,
178.764,1.018764138,178.764,-1.052631736,
178.864,1.018372536,178.864,-1.051760674,
178.964,1.018921256,178.964,-1.052580833,
179.064,1.018792987,179.064,-1.052454114,
179.164,1.017961383,179.164,-1.051993728,
179.264,1.01761961,179.264,-1.051136613,
179.364,1.018440008,179.364,-1.051220417,
179.464,1.018627763,179.464,-1.051032186,
179.564,1.01834178,179.564,-1.049815774,
179.664,1.019011259,179.664,-1.047940016,
179.764,1.021700621,179.764,-1.047132254,
179.864,1.023186207,179.864,-1.046554685,
179.964,1.023911834,179.964,-1.045824051,
180.064,1.02487874,180.064,-1.045170665,
180.164,1.026796103,180.164,-1.044214129,
180.264,1.027394414,180.264,-1.042882204,
180.364,1.026949286,180.364,-1.041445851,
180.464,1.02720809,180.464,-1.038951874,
180.564,1.029561996,180.564,-1.035975814,
180.664,1.030550241,180.664,-1.032880664,
180.764,1.030452967,180.764,-1.030691743,
180.864,1.030968666,180.864,-1.02873373,
180.964,1.03346467,180.964,-1.0265764,
181.064,1.034554243,181.064,-1.024419308,
181.164,1.034440994,181.164,-1.022843242,
181.264,1.034832597,181.264,-1.021816134,
181.364,1.036935449,181.364,-1.019309044,
181.464,1.03772819,181.464,-1.015958667,
181.564,1.037417293,181.564,-1.012357593,
181.664,1.037478805,181.664,-1.008413076,
181.764,1.039604425,181.764,-1.003336072,
181.864,1.04005003,181.864,-1.000212073,
181.964,1.039074659,181.964,-0.9989296794,
182.064,1.038304567,182.064,-0.9971973896,
182.164,1.039212704,182.164,-0.9933738112,
182.264,1.038562179,182.264,-0.9906260371,
182.364,1.036637425,182.364,-0.9897069335,
182.464,1.035792232,182.464,-0.9888914824,
182.564,1.037880301,182.564,-0.9862172008,
182.664,1.038293123,182.664,-0.9842682481,
182.764,1.037516475,182.764,-0.9837499857,
182.864,1.03753221,182.864,-0.9824041724,
182.964,1.040000677,182.964,-0.9795590639,
183.064,1.04065907,183.064,-0.978951931,
183.164,1.040025234,183.164,-0.9795931578,
183.264,1.040543199,183.264,-0.9795958996,
183.364,1.044126034,183.364,-0.9756661654,
183.464,1.045743585,183.464,-0.9732428789,
183.564,1.045872569,183.564,-0.9720647931,
183.664,1.046196342,183.664,-0.9702100754,
183.764,1.048037887,183.764,-0.9663119912,
183.864,1.048056364,183.864,-0.9638925791,
183.964,1.046795011,183.964,-0.9641398787,
184.064,1.046164393,184.064,-0.9635908008,
184.164,1.047916293,184.164,-0.9591511488,
184.264,1.047689795,184.264,-0.9568053484,
184.364,1.046217203,184.364,-0.9553716183,
184.464,1.045677066,184.464,-0.9538834095,
184.564,1.047665358,184.564,-0.9492254853,
184.664,1.047634006,184.664,-0.9453948736,
184.764,1.046036959,184.764,-0.9422343373,
184.864,1.045023918,184.864,-0.9389968514,
184.964,1.046269894,184.964,-0.9342817664,
185.064,1.045687795,185.064,-0.9332197309,
185.164,1.04384172,185.164,-0.9349367023,
185.264,1.042693734,185.264,-0.9344645143,
185.364,1.043952584,185.364,-0.930606246,
185.464,1.04365766,185.464,-0.9285575151,
185.564,1.041980505,185.564,-0.9288787842,
185.664,1.040706635,185.664,-0.9282476306,
185.764,1.041317225,185.764,-0.9241699576,
185.864,1.040263414,185.864,-0.9227445722,
185.964,1.037941337,185.964,-0.9229120016,
186.064,1.03632772,186.064,-0.9227488637,
186.164,1.037288308,186.164,-0.9200271368,
186.264,1.036730051,186.264,-0.9205893278,
186.364,1.035214782,186.364,-0.9234870672,
186.464,1.034836292,186.464,-0.9249628782,
186.564,1.037109375,186.564,-0.9229934216,
186.664,1.03766191,186.664,-0.9238280058,
186.764,1.037016273,186.764,-0.9264801145,
186.864,1.037198067,186.864,-0.9269474745,
186.964,1.039479017,186.964,-0.9222841859,
187.064,1.040030837,187.064,-0.9202360511,
187.164,1.039273739,187.164,-0.9206805229,
187.264,1.038741469,187.264,-0.9201747775,
187.364,1.040107012,187.364,-0.915817976,
187.464,1.039949536,187.464,-0.9142993093,
187.564,1.038582563,187.564,-0.9155772924,
187.664,1.037752748,187.664,-0.9165129662,
187.764,1.039049625,187.764,-0.9136878848,
187.864,1.038782597,187.864,-0.912520647,
187.964,1.037223697,187.964,-0.9130007625,
188.064,1.036565661,188.064,-0.913094461,
188.164,1.038561702,188.164,-0.9108701944,
188.264,1.038870096,188.264,-0.9100320339,
188.364,1.037924647,188.364,-0.9110229611,
188.464,1.037624955,188.464,-0.9115532041,
188.564,1.039469838,188.564,-0.9109660387,
188.664,1.039693475,188.664,-0.9108327031,
188.764,1.038490772,188.764,-0.9125178456,
188.864,1.037282944,188.864,-0.9147487283,
188.964,1.037539363,188.964,-0.9146038294,
189.064,1.036435246,189.064,-0.9177920222,
189.164,1.034213781,189.164,-0.9221743345,
189.264,1.032661915,189.264,-0.9242210388,
189.364,1.033237696,189.364,-0.9235137701,
189.464,1.032601357,189.464,-0.9247364402,
189.564,1.030968666,189.564,-0.9260616302,
189.664,1.029415131,189.664,-0.9274909496,
189.764,1.028620958,189.764,-0.9280542731,
189.864,1.026957154,189.864,-0.9300713539,
189.964,1.024815679,189.964,-0.9328759313,
190.064,1.023055077,190.064,-0.9338121414,
190.164,1.022258282,190.164,-0.9327666163,
190.264,1.02077198,190.264,-0.9340276718,
190.364,1.018929958,190.364,-0.9367489219,
190.464,1.017259598,190.464,-0.9390953779,
190.564,1.016168833,190.564,-0.9419152141,
190.664,1.014498591,190.664,-0.9438589215,
190.764,1.012239695,190.764,-0.9378489852,
190.864,1.009478807,190.864,-0.9164723754,
190.964,1.006490231,190.964,-0.8759273291,
191.064,1.002953053,191.064,-0.8201531172,
191.164,0.9995455742,191.164,-0.7547374368,
191.264,0.9974051118,191.264,-0.6846115589,
191.364,0.9975361824,191.364,-0.6126142144,
191.464,0.9983080626,191.464,-0.5442698002,
191.564,0.9994841218,191.564,-0.4807109535,
191.664,1.000858784,191.664,-0.4170110822,
191.764,1.002278209,191.764,-0.3503777087,
191.864,1.003430486,191.864,-0.2840513289,
191.964,1.004445076,191.964,-0.218122825,
192.064,1.005364656,192.064,-0.1528418213,
192.164,1.001383901,192.164,-0.1714340597,
192.264,0.9976553321,192.264,-0.153813839,
192.364,0.9992349148,192.364,-0.1562709063,
192.464,1.000596523,192.464,-0.1578718424,
192.564,1.001325607,192.564,-0.1577713937,
192.664,1.002273917,192.664,-0.1596293151,
192.764,1.003539801,192.764,-0.161937654,
192.864,1.004440546,192.864,-0.1622578353,
192.964,1.004313588,192.964,-0.1608361155,
193.064,1.004701734,193.064,-0.1624803692,
193.164,1.005359292,193.164,-0.1653776914,
193.264,1.005813718,193.264,-0.1668071598,
193.364,1.00549829,193.364,-0.166162625,
193.464,1.00585556,193.464,-0.1669632494,
193.564,1.006704092,193.564,-0.1689472795,
193.664,1.007140279,193.664,-0.1701279134,
193.764,1.006425977,193.764,-0.1688864976,
193.864,1.006251216,193.864,-0.1699783951,
193.964,1.006745815,193.964,-0.1725944877,
194.064,1.007053852,194.064,-0.1748714,
194.164,1.006437778,194.164,-0.1726308912,
194.264,1.006452441,194.264,-0.1726643145,
194.364,1.006993294,194.364,-0.1741545945,
194.464,1.007332563,194.464,-0.1752172559,
194.564,1.00673151,194.564,-0.1743236035,
194.664,1.006689548,194.664,-0.175167188,
194.764,1.007244229,194.764,-0.1780511588,
194.864,1.007476449,194.864,-0.1816253811,
194.964,1.006646037,194.964,-0.1821356863,
195.064,1.006287694,195.064,-0.1854641885,
195.164,1.006353617,195.164,-0.1906075478,
195.264,1.006469846,195.264,-0.1950514615,
195.364,1.00606513,195.364,-0.1962432116,
195.464,1.006294727,195.464,-0.200003922,
195.564,1.006929517,195.564,-0.2059203088,
195.664,1.007273316,195.664,-0.2105323672,
195.764,1.006791949,195.764,-0.2116816789,
195.864,1.006660461,195.864,-0.2155660987,
195.964,1.006944537,195.964,-0.2217214853,
196.064,1.007088184,196.064,-0.2265814692,
196.164,1.006462336,196.164,-0.2282034159,
