"vehicle_local_position->x_x","vehicle_local_position->x_y"
774.878,0.9753670096,
774.978,0.9770538807,
775.078,0.9786941409,
775.178,0.9804519415,
775.278,0.9827376008,
775.378,0.9854757786,
775.478,0.9877021313,
775.578,0.9895508885,
775.678,0.9915580153,
775.778,0.9934484959,
775.878,0.994160533,
775.978,0.994217515,
776.078,0.9944891334,
776.178,0.9946950674,
776.278,0.9938335419,
776.378,0.9921684861,
776.478,0.9907078147,
776.578,0.9896547794,
776.678,0.9891335964,
776.778,0.9891068339,
776.878,0.9894534945,
776.978,0.9901019931,
777.078,0.9907439351,
777.178,0.9914514422,
777.278,0.9924173355,
777.378,0.9937382936,
777.478,0.9952260852,
777.578,0.9967894554,
777.678,0.9983337522,
777.778,0.9997971058,
777.878,1.000925183,
777.978,1.001811862,
778.078,1.002742648,
778.178,1.003465891,
778.278,1.003795862,
778.378,1.00387466,
778.478,1.004046082,
778.578,1.004177213,
778.678,1.004073739,
778.778,1.003781438,
778.878,1.003485799,
778.978,1.003171325,
779.078,1.002260566,
779.178,1.000850916,
779.278,0.9997068644,
779.378,0.9988829494,
779.478,0.9980272651,
779.578,0.9972295761,
779.678,0.9967486858,
779.778,0.9965732694,
779.878,0.9960588217,
779.978,0.9952629209,
780.078,0.994725585,
780.178,0.9945530295,
780.278,0.9937741756,
780.378,0.9927669764,
780.478,0.9920918941,
780.578,0.991840899,
780.678,0.9910986423,
780.778,0.9899065495,
780.878,0.98928684,
780.978,0.9891276956,
781.078,0.9881395102,
781.178,0.9866144657,
781.278,0.985737741,
781.378,0.9853466749,
781.478,0.9847187996,
781.578,0.9841154218,
781.678,0.9841582179,
781.778,0.98464185,
781.878,0.9845358133,
781.978,0.9841801524,
782.078,0.9842283726,
782.178,0.98487854,
782.278,0.9848478436,
782.378,0.9843204618,
782.478,0.9843289256,
782.578,0.984806478,
782.678,0.9852901697,
782.778,0.9858517647,
782.878,0.9867901206,
782.978,0.9880107045,
783.078,0.988732636,
783.178,0.9891588688,
783.278,0.989690423,
783.378,0.9904164076,
783.478,0.9909578562,
783.578,0.9914606214,
783.678,0.9922087789,
783.778,0.9930280447,
783.878,0.9938964844,
783.978,0.9948307276,
784.078,0.9958897233,
784.178,0.9969125986,
784.278,0.9983475804,
784.378,0.9999924302,
784.478,1.001161814,
784.578,1.002036333,
784.678,1.003078818,
784.778,1.004077792,
784.878,1.004690647,
784.978,1.005104542,
785.078,1.005756855,
785.178,1.006604552,
785.278,1.006955147,
785.378,1.007018328,
785.478,1.008009791,
785.578,1.009395599,
785.678,1.01031661,
785.778,1.010969281,
785.878,1.012305498,
785.978,1.013955832,
786.078,1.014909625,
786.178,1.015352011,
786.278,1.017176867,
786.378,1.019824386,
786.478,1.021426916,
786.578,1.022129774,
786.678,1.023256898,
786.778,1.024466395,
786.878,1.024440527,
786.978,1.023310304,
787.078,1.023219466,
787.178,1.023603916,
787.278,1.024660349,
787.378,1.026176453,
787.478,1.026505351,
787.578,1.025897145,
787.678,1.027003765,
787.778,1.029034853,
787.878,1.029871583,
787.978,1.029634356,
788.078,1.030765772,
788.178,1.032720208,
788.278,1.034175992,
788.378,1.037304521,
788.478,1.038624048,
788.578,1.038373113,
788.678,1.037930846,
788.778,1.039828897,
788.878,1.039976358,
788.978,1.038863897,
789.078,1.037984729,
789.178,1.040727377,
789.278,1.041798949,
789.378,1.041303039,
789.478,1.040773153,
789.578,1.04339087,
789.678,1.044106007,
789.778,1.043355107,
789.878,1.042458177,
789.978,1.044623971,
790.078,1.044984102,
790.178,1.04375422,
790.278,1.042561769,
790.378,1.04459548,
790.478,1.045687914,
790.578,1.048890352,
790.678,1.049928308,
790.778,1.049201608,
790.878,1.048367262,
790.978,1.050398946,
791.078,1.050442696,
791.178,1.048817039,
791.278,1.047027826,
791.378,1.047963858,
791.478,1.047028661,
791.578,1.044717908,
791.678,1.04251945,
791.778,1.043350339,
791.878,1.042418361,
791.978,1.040114045,
792.078,1.037917852,
792.178,1.038838983,
792.278,1.038439035,
792.378,1.036854506,
792.478,1.035412192,
792.578,1.036549449,
792.678,1.036341786,
792.778,1.035067916,
792.878,1.033693075,
792.978,1.034371972,
793.078,1.033732295,
793.178,1.031772137,
793.278,1.029224396,
793.378,1.027665615,
793.478,1.02482295,
793.578,1.021062851,
793.678,1.017920017,
793.778,1.017924786,
793.878,1.017652035,
793.978,1.017527938,
794.078,1.018104076,
794.178,1.020812273,
794.278,1.022826672,
794.378,1.024343848,
794.478,1.025875688,
794.578,1.028966069,
794.678,1.030981064,
794.778,1.032173634,
794.878,1.033400655,
794.978,1.035445333,
795.078,1.035033345,
795.178,1.033669114,
795.278,1.032587171,
795.378,1.033962131,
795.478,1.0343858,
795.578,1.034106255,
795.678,1.034111023,
795.778,1.035893559,
795.878,1.03663671,
795.978,1.03666687,
796.078,1.036771894,
796.178,1.038377762,
796.278,1.039135218,
796.378,1.039317608,
796.478,1.039479971,
796.578,1.041039824,
796.678,1.041953206,
796.778,1.042457938,
796.878,1.042864561,
796.978,1.043972492,
797.078,1.044646144,
797.178,1.04498446,
797.278,1.045177341,
797.378,1.045770168,
797.478,1.045936346,
797.578,1.045761228,
797.678,1.045778513,
797.778,1.046550512,
797.878,1.046913147,
797.978,1.047082424,
798.078,1.047456026,
798.178,1.048523068,
798.278,1.049296498,
798.378,1.04978931,
798.478,1.050276995,
798.578,1.050842404,
798.678,1.051261544,
798.778,1.051587462,
798.878,1.05196929,
798.978,1.05238688,
