pr1,pi1,pr2,pi2,pr3,pi3,pr4,pi4,pr5,pi5,pr6,pi6,pr7,pi7,pr8,pi8,pr9,pi9,pr10,pi10,pr11,pi11,pr12,pi12
-3.69534718,-0.958733305,-169.119474,0,-161.80521,0,-66.6666667,8.547912e-06,-66.6666667,-8.547912e-06,-22.3397631,0,-13.0035045,1.58994338,-13.0035045,-1.58994338,-0.133586152,3.25313513,-0.133586152,-3.25313513,-4.01084873,0,-3.69534718,0.958733305
-3.88396757,-0.982336616,-169.119474,0,-161.811977,0,-66.6666728,0,-66.6666605,0,-22.3397631,0,-12.8099474,0.237155189,-12.8099474,-0.237155189,-0.135139416,3.24613098,-0.135139416,-3.24613098,-4.01084873,0,-3.88396757,0.982336616
-3.8883319,-0.982492752,-169.119474,0,-161.812122,0,-66.666671,0,-66.6666623,0,-22.3397631,0,-12.805486,0,-12.8054804,0,-0.135166572,3.2459821,-0.135166572,-3.2459821,-4.01084873,0,-3.8883319,0.982492752
-3.89271119,-0.982632103,-169.119474,0,-161.812268,0,-66.6666726,0,-66.6666607,0,-22.3397631,0,-13.0384749,0,-12.5635338,0,-0.135193474,3.2458333,-0.135193474,-3.2458333,-4.01084873,0,-3.89271119,0.982632103
-4.27141993,-0.928804661,-169.119474,0,-161.823027,0,-66.6666734,0,-66.6666599,0,-22.3397631,0,-14.5994335,0,-10.2317573,0,-0.136513896,3.23506281,-0.136513896,-3.23506281,-4.01084873,0,-4.27141993,0.928804661
-4.98833023,-0.176023603,-169.119474,0,-161.834699,0,-66.6666756,0,-66.6666577,0,-22.3397631,0,-15.2656604,0,-8.1198396,0,-0.136613129,3.2240542,-0.136613129,-3.2240542,-4.01084873,0,-4.98833023,0.176023603
-5.0066576,0,-169.119474,0,-161.834867,0,-66.6666757,0,-66.6666577,0,-22.3397631,0,-15.2734295,0,-8.07526114,0,-0.136605707,3.22390164,-0.136605707,-3.22390164,-4.01084873,0,-5.00665911,0
-4.84518355,0,-169.119474,0,-161.835035,0,-66.6666739,0,-66.6666594,0,-22.3397631,0,-15.2811622,0,-8.02937304,0,-0.136598053,3.22374925,-0.136598053,-3.22374925,-4.01084873,0,-5.20613586,0
-4.52056044,0,-169.119474,0,-161.837279,0,-66.6666755,0,-66.6666579,0,-22.3397631,0,-15.3811522,0,-7.07255973,0,-0.136473997,3.22173102,-0.136473997,-3.22173102,-4.01084873,0,-6.38558632,0
-4.50852901,0,-169.119474,0,-161.837449,0,-66.6666725,0,-66.6666608,0,-22.3397631,0,-15.388517,0,-6.7313321,2.16867312e-06,-0.136462934,3.2215789,-0.136462934,-3.2215789,-4.01084873,0,-6.7313321,-2.16867312e-06
-4.49711393,0,-169.119474,0,-161.83762,0,-66.6666731,0,-66.6666602,0,-22.3397631,0,-15.3958502,0,-6.73329905,0.341381549,-0.136451646,3.22142696,-0.136451646,-3.22142696,-4.01084873,0,-6.73329905,-0.341381549
-4.01188482,0,-169.119474,0,-161.868079,0,-66.6666667,-2.83109609e-06,-66.6666667,2.83109609e-06,-22.3397631,0,-16.3851386,0,-6.47093488,3.92312421,-0.131556521,3.1974036,-0.131556521,-3.1974036,-4.01084873,0,-6.47093488,-3.92312421
-4.01188482,0,-169.119474,0,-161.868079,0,-66.6666667,-3.1791546e-06,-66.6666667,3.1791546e-06,-22.3397631,0,-16.3851386,0,-6.47093488,3.92312421,-0.131556521,3.1974036,-0.131556521,-3.1974036,-4.01084873,0,-6.47093488,-3.92312421
-4.01084825,0,-169.119474,0,-161.86828,0,-66.6666656,0,-66.6666677,0,-22.3397631,0,-16.3902867,0,-6.46882513,3.93411553,-0.131509646,3.19726548,-0.131509646,-3.19726548,-4.01084921,0,-6.46882513,-3.93411553
-4.01084873,2.26182244e-07,-169.119474,0,-161.86828,0,-66.6666667,1.55217016e-06,-66.6666667,-1.55217016e-06,-22.3397631,0,-16.3902867,0,-6.46882513,3.93411553,-0.131509646,3.19726548,-0.131509646,-3.19726548,-4.01084873,-2.26182244e-07,-6.46882513,-3.93411553
-4.01084873,0,-169.119474,0,-161.868482,0,-66.6666737,0,-66.6666596,0,-22.3397631,0,-16.3954223,0,-6.4667177,3.94506263,-0.131462634,3.19712761,-0.131462634,-3.19712761,-4.00982075,0,-6.4667177,-3.94506263
-4.01084873,0,-169.119474,0,-161.868482,0,-66.6666737,0,-66.6666597,0,-22.3397631,0,-16.3954223,0,-6.4667177,3.94506263,-0.131462634,3.19712761,-0.131462634,-3.19712761,-4.00982075,0,-6.4667177,-3.94506263
-4.01084873,0,-169.119474,0,-161.873398,0,-66.6666667,-2.49338677e-06,-66.6666667,2.49338677e-06,-22.3397631,0,-16.5171769,0,-6.41599306,4.19985815,-0.130274081,3.19384174,-0.130274081,-3.19384174,-3.98697638,0,-6.41599306,-4.19985815
-4.01084873,0,-169.119474,0,-161.939926,0,-66.6666667,-4.23249584e-06,-66.6666667,4.23249584e-06,-22.3397631,0,-17.7342619,0,-5.86012976,6.48868882,-0.110938977,3.16232918,-0.110938977,-3.16232918,-3.85376043,0,-5.86012976,-6.48868882
-4.01084873,0,-169.119474,0,-162.027753,0,-66.6666555,0,-66.6666778,0,-22.3397631,0,-18.7684076,0,-5.34734263,8.32943065,-0.0880009417,3.14326211,-0.0880009417,-3.14326211,-3.80323777,0,-5.34734263,-8.32943065
-4.01084873,0,-169.119474,0,-162.14363,0,-66.6666667,4.67938046e-06,-66.6666667,-4.67938046e-06,-22.3397631,0,-19.7250865,0,-4.84488694,10.0703716,-0.0672975222,3.13342519,-0.0672975222,-3.13342519,-3.77699964,0,-4.84488694,-10.0703716
-4.01084873,0,-169.119474,0,-162.296398,0,-66.6666614,0,-66.6666719,0,-22.3397631,0,-20.6445415,0,-4.33327713,11.8331827,-0.0506154042,3.12904782,-0.0506154042,-3.12904782,-3.7613611,0,-4.33327713,-11.8331827
-4.01084873,0,-169.119474,0,-162.497595,0,-66.6666622,0,-66.6666711,0,-22.3397631,0,-21.5447322,0,-3.80040539,13.6866158,-0.0378271395,3.12754005,-0.0378271395,-3.12754005,-3.7512935,0,-3.80040539,-13.6866158
-4.01084873,0,-169.119474,0,-162.729709,0,-66.666655,0,-66.6666783,0,-22.3397631,0,-22.336591,0,-3.3001872,15.455343,-0.029146218,3.12738579,-0.029146218,-3.12738579,-3.74511909,0,-3.3001872,-15.455343
-4.01084873,0,-169.119474,0,-162.729714,0,-66.6666604,0,-66.666673,0,-22.3397631,0,-22.3366074,0,-3.30017649,15.4553812,-0.0291460598,3.12738579,-0.0291460598,-3.12738579,-3.74511898,0,-3.30017649,-15.4553812
-4.01084873,0,-169.119474,0,-162.730759,0,-66.6666614,0,-66.666672,0,-22.3397633,0,-22.3397547,0,-3.2981208,15.4627158,-0.0291157273,3.12738647,-0.0291157273,-3.12738647,-3.74509818,0,-3.2981208,-15.4627158
-4.01084873,0,-169.119474,0,-162.730765,0,-66.6666573,0,-66.666676,0,-22.3397635,0,-22.339771,0,-3.29811009,15.4627541,-0.0291155693,3.12738648,-0.0291155693,-3.12738648,-3.74509807,0,-3.29811009,-15.4627541
-4.01084873,0,-169.119474,0,-162.73181,0,-66.6666649,0,-66.6666685,0,-22.3397631,0,-22.3429155,0,-3.29605598,15.4700836,-0.0290852992,3.12738717,-0.0290852992,-3.12738717,-3.74507731,0,-3.29605598,-15.4700836
-4.01084873,0,-169.119474,0,-162.731816,0,-66.6666613,0,-66.666672,0,-22.3397631,0,-22.3429319,0,-3.29604526,15.4701219,-0.0290851413,3.12738717,-0.0290851413,-3.12738717,-3.7450772,0,-3.29604526,-15.4701219
-4.01084873,0,-169.119474,0,-162.762223,0,-66.6666549,0,-66.6666784,0,-22.3397631,0,-22.4330281,0,-3.2369402,15.6812593,-0.0282306167,3.12741017,-0.0282306167,-3.12741017,-3.74449313,0,-3.2369402,-15.6812593
-4.01084873,0,-169.119474,0,-163.109681,0,-66.6666546,0,-66.6666788,0,-22.3397631,0,-23.3105396,0,-2.63397102,17.8612606,-0.0210861054,3.1278683,-0.0210861054,-3.1278683,-3.73975081,0,-2.63397102,-17.8612606
-4.01084873,0,-169.119474,0,-163.564883,0,-66.6666556,0,-66.6666778,0,-22.3397631,0,-24.1741026,0,-1.98158915,20.2694604,-0.0157759005,3.12851997,-0.0157759005,-3.12851997,-3.73637014,0,-1.98158915,-20.2694604
-4.01084873,0,-169.119474,0,-164.159542,0,-66.6666593,0,-66.666674,0,-22.3397631,0,-25.017431,0,-1.26777048,22.9500039,-0.0118246275,3.12918064,-0.0118246275,-3.12918064,-3.73392236,0,-1.26777048,-22.9500039
-4.01084873,0,-169.119474,0,-164.933578,0,-66.6666568,0,-66.6666766,0,-22.3397631,0,-25.8320216,0,-0.477299566,25.949732,-0.00887813079,3.12977302,-0.00887813079,-3.12977302,-3.73213005,0,-0.477299566,-25.949732
-4.01084873,0,-169.119474,0,-165.936538,0,-66.6666591,0,-66.6666742,0,-22.3397631,0,-26.6080659,0,0.409338258,29.3188132,-0.00667565217,3.13027253,-0.00667565217,-3.13027253,-3.7308069,0,0.409338258,-29.3188132
-4.01084873,0,-169.119474,0,-167.22885,0,-66.6666584,0,-66.666675,0,-22.3397631,0,-27.3354635,0,1.41705179,33.1107701,-0.00502564927,3.13067904,-0.00502564927,-3.13067904,-3.72982421,0,1.41705179,-33.1107701
-4.01084873,0,-169.119474,0,-168.88268,0,-66.6666667,-1.70594575e-06,-66.6666667,1.70594575e-06,-22.3397631,0,-28.0049159,0,2.57708781,37.381963,-0.00378715726,3.13100261,-0.00378715726,-3.13100261,-3.72909109,0,2.57708781,-37.381963
-4.01084873,0,-169.119474,0,-169.112613,0,-66.6666565,0,-66.6666768,0,-22.3397631,0,-28.0820655,0,2.73046365,37.9374025,-0.00365914824,3.13103696,-0.00365914824,-3.13103696,-3.72901553,0,2.73046365,-37.9374025
-4.01084873,0,-169.119474,0,-169.112613,0,-66.666655,0,-66.6666784,0,-22.3397631,0,-28.0820655,0,2.73046365,37.9374025,-0.00365914824,3.13103696,-0.00365914824,-3.13103696,-3.72901553,0,2.73046365,-37.9374025
-4.01084873,0,-169.119474,7.91441833e-06,-169.119474,-7.91441833e-06,-66.6666667,5.25713894e-06,-66.6666667,-5.25713894e-06,-22.3397631,0,-28.0843184,0,2.73501541,37.953851,-0.00365545228,3.13103795,-0.00365545228,-3.13103795,-3.72901335,0,2.73501541,-37.953851
-4.01084873,0,-169.119474,9.20253225e-06,-169.119474,-9.20253225e-06,-66.6666667,8.30212342e-06,-66.6666667,-8.30212342e-06,-22.3397631,0,-28.0843184,0,2.73501541,37.953851,-0.00365545228,3.13103795,-0.00365545228,-3.13103795,-3.72901335,0,2.73501541,-37.953851
-4.01084873,0,-169.119474,0,-169.126333,0,-66.6666572,0,-66.6666761,0,-22.3397631,0,-28.0865683,0,2.73956512,37.9702899,-0.00365176377,3.13103894,-0.00365176377,-3.13103894,-3.72901117,0,2.73956512,-37.9702899
-4.01084873,0,-169.119474,0,-169.126333,0,-66.6666557,0,-66.6666777,0,-22.3397631,0,-28.0865683,0,2.73956512,37.9702899,-0.00365176377,3.13103894,-0.00365176377,-3.13103894,-3.72901117,0,2.73956512,-37.9702899
-4.01084873,0,-169.119474,0,-169.597294,0,-66.6666627,0,-66.6666706,0,-22.3397631,0,-28.2347313,0,3.04881944,39.0828265,-0.00341399156,3.13110322,-0.00341399156,-3.13110322,-3.72887092,0,3.04881944,-39.0828265
