pr1,pi1,pr2,pi2,pr3,pi3,pr4,pi4,pr5,pi5,pr6,pi6,pr7,pi7,pr8,pi8,pr9,pi9,pr10,pi10,pr11,pi11,pr12,pi12,pr13,pi13,clr1,cli1,clr2,cli2,clr3,cli3,clr4,cli4,clr5,cli5,clr6,cli6,clr7,cli7,clr8,cli8,clr9,cli9,clr10,cli10,clr11,cli11,clr12,cli12,clr13,cli13
-0.2766652076,0.4632695234,-0.2766652076,-0.4632695234,-169.1194736,0,-160.6032176,0,-66.66665655,0,-66.66667678,0,-22.33976312,0,-15.32214917,6.936124976,-15.32214917,-6.936124976,-0.03735852948,3.309049281,-0.03735852948,-3.309049281,-4.01084873,0,-3.5945221,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.409034956,0.5128252028,-0.409034956,-0.5128252028,-169.1194736,0,-160.0359009,0,-66.66665774,0,-66.6666756,0,-22.33976312,0,-15.45954105,7.541950976,-15.45954105,-7.541950976,-0.0526138628,3.297390811,-0.0526138628,-3.297390811,-4.01084873,0,-3.591804788,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.5949580814,0.5208471965,-0.5949580814,-0.5208471965,-169.1194736,0,-159.1613998,0,-66.66666667,5.025715848e-06,-66.66666667,-5.025715848e-06,-22.33976312,0,-15.69639893,8.413364912,-15.69639893,-8.413364912,-0.06929351611,3.277141287,-0.06929351611,-3.277141287,-4.01084873,0,-3.587384584,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.8438960806,0.4155449644,-0.8438960806,-0.4155449644,-169.1194736,0,-157.8069826,0,-66.66666021,0,-66.66667312,0,-22.33976312,0,-16.11606557,9.641845726,-16.11606557,-9.641845726,-0.08163491032,3.246683709,-0.08163491032,-3.246683709,-4.01084873,0,-3.579909725,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-1.045030132,0.02812855349,-1.045030132,-0.02812855349,-169.1194736,0,-156.4947141,0,-66.66665579,0,-66.66667755,0,-22.33976312,0,-16.57305052,10.71706268,-16.57305052,-10.71706268,-0.08370378353,3.222499063,-0.08370378353,-3.222499063,-4.01084873,0,-3.571802468,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-1.045775891,0,-1.045776165,0,-169.1194736,0,-156.489374,0,-66.66665518,0,-66.66667816,0,-22.33976312,0,-16.57499594,10.72123428,-16.57499594,-10.72123428,-0.08370002585,3.222413032,-0.08370002585,-3.222413032,-4.01084873,0,-3.571767487,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-1.018382226,0,-1.074660609,0,-169.1194736,0,-156.4840335,0,-66.66666183,0,-66.6666715,0,-22.33976312,0,-16.57694213,10.7254046,-16.57694213,-10.7254046,-0.08369619368,3.222327094,-0.08369619368,-3.222327094,-4.01084873,0,-3.571732486,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.8002609483,0,-1.501756315,0,-169.1194736,0,-155.6931558,0,-66.66666378,0,-66.66666956,0,-22.33976312,0,-16.87184412,11.32626895,-16.87184412,-11.32626895,-0.08243746277,3.210648992,-0.08243746277,-3.210648992,-4.01084873,0,-3.56634922,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.6700471239,0,-2.306036507,0,-169.1194736,0,-152.3516637,0,-66.6666528,0,-66.66668053,0,-22.33976312,0,-18.23132561,13.54808297,-18.23132561,-13.54808297,-0.07092136496,3.179051107,-0.07092136496,-3.179051107,-4.01084873,0,-3.537844169,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.6234521629,0,-3.049148825,0,-169.1194736,0,-146.9487398,0,-66.66665272,0,-66.66668062,0,-22.33976312,0,-20.65121182,16.33107246,-20.65121182,-16.33107246,-0.05402985115,3.157828996,-0.05402985115,-3.157828996,-4.01084873,0,-3.438261299,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
