"vehicle_local_position_groundtruth->x_x","vehicle_local_position_groundtruth->x_y","vehicle_local_position_groundtruth->vx_x","vehicle_local_position_groundtruth->vx_y"
1519.208,-0.04447796941,1519.208,0.009999999776,
1519.308,-0.03335847706,1519.308,0.009999999776,
1519.408,-0.03335847706,1519.408,0.009999999776,
1519.508,-0.03335847706,1519.508,0.009999999776,
1519.608,-0.03335847706,1519.608,0.009999999776,
1519.708,-0.03335847706,1519.708,0.009999999776,
1519.804,-0.03335847706,1519.804,0.009999999776,
1519.908,-0.03335847706,1519.908,0.009999999776,
1520.008,-0.03335847706,1520.008,0.009999999776,
1520.108,-0.0222389847,1520.108,0,
1520.208,-0.0222389847,1520.208,0,
1520.308,-0.0222389847,1520.308,0,
1520.408,-0.0222389847,1520.408,0,
1520.508,-0.0222389847,1520.508,0,
1520.608,-0.0222389847,1520.608,0,
1520.708,-0.0222389847,1520.708,0,
1520.808,-0.0222389847,1520.808,0,
1520.908,-0.0222389847,1520.908,0,
1521.008,-0.0222389847,1521.008,0,
1521.108,-0.0222389847,1521.108,0.009999999776,
1521.204,-0.0222389847,1521.204,0.009999999776,
1521.308,-0.0222389847,1521.308,0.009999999776,
1521.408,-0.0222389847,1521.408,0.009999999776,
1521.508,-0.01111949235,1521.508,0.009999999776,
1521.608,-0.01111949235,1521.608,0.01999999955,
1521.708,-0.01111949235,1521.708,0.01999999955,
1521.808,-0.01111949235,1521.808,0.01999999955,
1521.908,-0.01111949235,1521.908,0.01999999955,
1522.008,3.536615445e-10,1522.008,0.01999999955,
1522.108,3.536615445e-10,1522.108,0.01999999955,
1522.208,3.536615445e-10,1522.208,0.02999999933,
1522.308,0.01111949328,1522.308,0.02999999933,
1522.408,0.01111949328,1522.408,0.02999999933,
1522.508,0.01111949328,1522.508,0.02999999933,
1522.608,0.02223898657,1522.608,0.02999999933,
1522.708,0.02223898657,1522.708,0.03999999911,
1522.808,0.02223898657,1522.808,0.03999999911,
1522.908,0.03335848078,1522.908,0.02999999933,
1523.008,0.03335848078,1523.008,0.02999999933,
1523.108,0.03335848078,1523.108,0.02999999933,
1523.208,0.04447796941,1523.208,0.02999999933,
1523.308,0.04447796941,1523.308,0.01999999955,
1523.408,0.04447796941,1523.408,0.01999999955,
1523.508,0.04447796941,1523.508,0.01999999955,
1523.608,0.05559746549,1523.608,0.01999999955,
1523.708,0.05559746549,1523.708,0.009999999776,
1523.808,0.05559746549,1523.808,0.009999999776,
1523.908,0.05559746549,1523.908,0.009999999776,
1524.008,0.05559746549,1524.008,0.009999999776,
1524.108,0.05559746549,1524.108,0.01999999955,
1524.208,0.06671695411,1524.208,0.01999999955,
1524.308,0.06671695411,1524.308,0.01999999955,
1524.408,0.06671695411,1524.408,0.01999999955,
1524.508,0.06671695411,1524.508,0.01999999955,
1524.608,0.07783644646,1524.608,0.02999999933,
1524.708,0.07783644646,1524.708,0.02999999933,
1524.808,0.07783644646,1524.808,0.02999999933,
1524.908,0.08895593882,1524.908,0.03999999911,
1525.008,0.08895593882,1525.008,0.1799999923,
1525.108,0.1223144233,1525.108,0.4699999988,
1525.208,0.1890313774,1525.208,0.7699999809,
1525.308,0.2891068161,1525.308,1.199999928,
1525.408,0.4336602092,1525.408,1.769999981,
1525.508,0.6449306011,1525.508,2.369999886,
1525.608,0.9117984176,1525.608,2.909999847,
1525.708,1.223144174,1525.708,3.409999847,
1525.808,1.601206899,1525.808,3.839999914,
1525.908,2.001508713,1525.908,4.159999847,
