current_time,position.x,position.y,position.z,velocity.x,velocity.y,velocity.z,pos_sp.x,pos_sp.y,pos_sp.z,vel_sp.x,vel_sp.y,vel_sp.z,acc_sp.x,acc_sp.y,acc_sp.y,payload_euler.x,payload_euler.y,payload_euler.z,simulink_acc_sp.x,simulink_acc_sp.y,simulink_acc_sp.y
1633549013.394253,16.4486026763916,-0.059585731476545334,-7.806202411651611,1.005661129951477,-2.3624772438779473e-05,0.00043179921340197325,0.0,0.0,0.0,1.0,0.0,-0.0,0.271912157535553,0.0017126408638432622,0.0017126408638432622,-0.00011051001638406888,0.0030695705208927393,-1.5745607614517212,0.0,0.0,0.0
1633549013.402429,16.460704803466797,-0.05958642438054085,-7.806179523468018,1.0057040452957153,-1.3578560356108937e-05,0.0003950826940126717,0.0,0.0,0.0,1.0,0.0,-0.0,0.2718488276004791,0.001674833707511425,0.001674833707511425,-0.00011051001638406888,0.0030695705208927393,-1.5745607614517212,0.0,0.0,0.0
1633549013.412474,16.46875,-0.05958695709705353,-7.806159019470215,1.005732536315918,-7.292223926924635e-06,0.0003646518161986023,0.0,0.0,0.0,1.0,0.0,-0.0,0.2718488276004791,0.001674833707511425,0.001674833707511425,-0.00010340718290535733,0.0029553771018981934,-1.5745636224746704,0.0,0.0,0.0
1633549013.422565,16.48082160949707,-0.05958738550543785,-7.806138038635254,1.0057722330093384,2.7029084321839036e-06,0.0003008501080330461,0.0,0.0,0.0,1.0,0.0,-0.0,0.2717806100845337,0.0016403873451054096,0.0016403873451054096,-9.87582970992662e-05,0.0028806801419705153,-1.574565052986145,0.0,0.0,0.0
1633549013.432593,16.492921829223633,-0.05958765745162964,-7.806118965148926,1.0058081150054932,1.1299663128738757e-05,0.00023334780416917056,0.0,0.0,0.0,1.0,0.0,-0.0,0.2717806100845337,0.0016403873451054096,0.0016403873451054096,-9.551947005093098e-05,0.00282840384170413,-1.5745657682418823,0.0,0.0,0.0
1633549013.443009,16.505048751831055,-0.05958782508969307,-7.806101322174072,1.0058387517929077,1.7214684703503735e-05,0.00015590402472298592,0.0,0.0,0.0,1.0,0.0,-0.0,0.27174147963523865,0.001627970254048705,0.001627970254048705,-9.048197534866631e-05,0.0027464020531624556,-1.5745668411254883,0.0,0.0,0.0
1633549013.452842,16.513080596923828,-0.0595879852771759,-7.806085586547852,1.0058562755584717,1.9065972082898952e-05,0.00010265706077916548,0.0,0.0,0.0,1.0,0.0,-0.0,0.27174147963523865,0.001627970254048705,0.001627970254048705,-9.048197534866631e-05,0.0027464020531624556,-1.5745668411254883,0.0,0.0,0.0
1633549013.463768,16.52518081665039,-0.059588029980659485,-7.806065559387207,1.005876898765564,2.077278077194933e-05,2.317837243026588e-05,0.0,0.0,0.0,1.0,0.0,-0.0,0.27176499366760254,0.001661510905250907,0.001661510905250907,-8.526039164280519e-05,0.002660258673131466,-1.5745676755905151,0.0,0.0,0.0
1633549013.472622,16.52518081665039,-0.059588029980659485,-7.806065559387207,1.005876898765564,2.077278077194933e-05,2.317837243026588e-05,0.0,0.0,0.0,1.0,0.0,-0.0,0.27176499366760254,0.001661510905250907,0.001661510905250907,-8.168994099833071e-05,0.0026006221305578947,-1.5745681524276733,0.0,0.0,0.0
1633549013.482664,16.545387268066406,-0.05958809703588486,-7.806030750274658,1.0058984756469727,2.047147245320957e-05,-8.592127414885908e-05,0.0,0.0,0.0,1.0,0.0,-0.0,0.2718052268028259,0.0016868856037035584,0.0016868856037035584,-7.805286440998316e-05,0.0025392870884388685,-1.5745683908462524,0.0,0.0,0.0
