current_time,position.x,position.y,position.z,velocity.x,velocity.y,velocity.z,pos_sp.x,pos_sp.y,pos_sp.z,vel_sp.x,vel_sp.y,vel_sp.z,acc_sp.x,acc_sp.y,acc_sp.y,payload_angles.x,payload_angles.y,payload_angles.z,payload_angles_rate.x,payload_angles_rate.y,payload_angles_rate.z
66.972,4.39935827255249,-0.0052338773384690285,0.21000120043754578,0.005296036601066589,-0.04491381719708443,0.07660277932882309,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.019973635816101083,0.018364249979558118,-1.6906178279031996,-0.0067748296022114435,0.07728874647365903,0.0015329106965439414
66.98,4.3994035720825195,-0.004976535215973854,0.20938538014888763,0.005342282820492983,-0.04462352395057678,0.07634220272302628,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.019973635816101083,0.018364249979558118,-1.6906178279031996,-0.0067748296022114435,0.07728874647365903,0.0015329106965439414
66.992,4.399448871612549,-0.004736005328595638,0.20881135761737823,0.005364959128201008,-0.04442740976810455,0.0763281062245369,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.019973635816101083,0.018364249979558118,-1.6906178279031996,-0.0067748296022114435,0.07728874647365903,0.0015329106965439414
67.0,4.399514675140381,-0.0046903472393751144,0.20858263969421387,0.00522268982604146,-0.04435060918331146,0.07611219584941864,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.019973635816101083,0.018364249979558118,-1.6906178279031996,-0.0067748296022114435,0.07728874647365903,0.0015329106965439414
67.012,4.399559020996094,-0.004489081911742687,0.20809711515903473,0.005388319026678801,-0.04422378167510033,0.07583022862672806,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.019973635816101083,0.018364249979558118,-1.6906178279031996,-0.0067748296022114435,0.07728874647365903,0.0015329106965439414
67.02,4.399624347686768,-0.004486502148211002,0.20795930922031403,0.005284703336656094,-0.04398941993713379,0.07551897317171097,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.0190809454332206,0.021484924480487857,-1.6905739048005104,-0.015765814635070537,0.0685915476865258,0.0012870149653645313
67.032,4.3996901512146,-0.00449579581618309,0.20785567164421082,0.005289774388074875,-0.043724220246076584,0.07544004172086716,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.0190809454332206,0.021484924480487857,-1.6905739048005104,-0.015765814635070537,0.0685915476865258,0.0012870149653645313
67.04,4.399735450744629,-0.0043487329967319965,0.2074940949678421,0.005646137520670891,-0.043682537972927094,0.07519788295030594,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.0190809454332206,0.021484924480487857,-1.6905739048005104,-0.015765814635070537,0.0685915476865258,0.0012870149653645313
67.052,4.399781703948975,-0.0042164502665400505,0.20703059434890747,0.005630971863865852,-0.04363487288355827,0.07497836649417877,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.0190809454332206,0.021484924480487857,-1.6905739048005104,-0.015765814635070537,0.0685915476865258,0.0012870149653645313
67.06,4.399849891662598,-0.004272843711078167,0.2069023698568344,0.005626125726848841,-0.04344690963625908,0.07458415627479553,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.01784805127177064,0.024095426252385446,-1.690552753560079,-0.024854308883035754,0.05647791177170663,0.0009776466166234775
67.072,4.399895668029785,-0.004172462970018387,0.20651723444461823,0.005587253253906965,-0.04328878968954086,0.07433732599020004,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.01784805127177064,0.024095426252385446,-1.690552753560079,-0.024854308883035754,0.05647791177170663,0.0009776466166234775
67.096,4.400081157684326,-0.004310027230530977,0.206197127699852,0.005890804808586836,-0.04280576482415199,0.07424278557300568,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.017318568196498997,0.024890259004109832,-1.6905512994885743,-0.028142348151568235,0.051302829385796424,0.000855787093268881
67.096,4.400081157684326,-0.004310027230530977,0.206197127699852,0.005890804808586836,-0.04280576482415199,0.07424278557300568,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.017318568196498997,0.024890259004109832,-1.6905512994885743,-0.028142348151568235,0.051302829385796424,0.000855787093268881
67.1,4.400081157684326,-0.004310027230530977,0.206197127699852,0.005890804808586836,-0.04280576482415199,0.07424278557300568,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.017318568196498997,0.024890259004109832,-1.6905512994885743,-0.028142348151568235,0.051302829385796424,0.000855787093268881
67.112,4.4001545906066895,-0.0044379448518157005,0.20625802874565125,0.006239991169422865,-0.04269592463970184,0.07424788922071457,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.017318568196498997,0.024890259004109832,-1.6905512994885743,-0.028142348151568235,0.051302829385796424,0.000855787093268881
67.12,4.400205135345459,-0.004410277120769024,0.20585714280605316,0.0062467479147017,-0.042484790086746216,0.07411059737205505,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.015815196992848574,0.02646184913982501,-1.6905626001742282,-0.03622609639748329,0.03679326313190278,0.0005456236281943222
67.132,4.400254249572754,-0.004394113551825285,0.20549052953720093,0.006063394248485565,-0.04251432418823242,0.07388252019882202,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.015815196992848574,0.02646184913982501,-1.6905626001742282,-0.03622609639748329,0.03679326313190278,0.0005456236281943222
67.14,4.400328636169434,-0.004561138805001974,0.20545314252376556,0.006343045271933079,-0.04239891842007637,0.07384006679058075,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.015815196992848574,0.02646184913982501,-1.6905626001742282,-0.03622609639748329,0.03679326313190278,0.0005456236281943222
67.152,4.4003801345825195,-0.004570613615214825,0.20516160130500793,0.006426522508263588,-0.04219372197985649,0.07366359978914261,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.015815196992848574,0.02646184913982501,-1.6905626001742282,-0.03622609639748329,0.03679326313190278,0.0005456236281943222
67.16,4.400454998016357,-0.004763119388371706,0.20520472526550293,0.006268071476370096,-0.04227754473686218,0.0735454335808754,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.013885130953638376,0.0274295147079649,-1.690598620332663,-0.04473002667798781,0.01868087145973833,0.0002234226930358708
67.172,4.400505065917969,-0.0047988733276724815,0.20498088002204895,0.00638097757473588,-0.04230435937643051,0.07291748374700546,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.013885130953638376,0.0274295147079649,-1.690598620332663,-0.04473002667798781,0.01868087145973833,0.0002234226930358708
67.18,4.400583267211914,-0.00501822168007493,0.20508261024951935,0.0066334218718111515,-0.04235605522990227,0.07256931811571121,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.013885130953638376,0.0274295147079649,-1.690598620332663,-0.04473002667798781,0.01868087145973833,0.0002234226930358708
67.192,4.400636196136475,-0.005078577436506748,0.20473188161849976,0.006689002737402916,-0.04239056631922722,0.07206714153289795,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.013885130953638376,0.0274295147079649,-1.690598620332663,-0.04473002667798781,0.01868087145973833,0.0002234226930358708
67.2,4.400716304779053,-0.00531807541847229,0.20469945669174194,0.006845304276794195,-0.042132019996643066,0.07180128246545792,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.013885130953638376,0.0274295147079649,-1.690598620332663,-0.04473002667798781,0.01868087145973833,0.0002234226930358708
67.212,4.400771617889404,-0.00539955822750926,0.2044195532798767,0.007050365209579468,-0.04205874726176262,0.07165084779262543,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.01148727671466128,0.02748542878135081,-1.6906617442885072,-0.053288768641682915,-0.0028679707699054424,-6.308691859762831e-05
67.22,4.400858402252197,-0.005661269184201956,0.20446327328681946,0.007469055708497763,-0.041974201798439026,0.07127778232097626,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.01148727671466128,0.02748542878135081,-1.6906617442885072,-0.053288768641682915,-0.0028679707699054424,-6.308691859762831e-05
67.232,4.400918006896973,-0.005763327702879906,0.20424909889698029,0.007448956836014986,-0.0419069267809391,0.07105491310358047,4.4,0.0,-2.5,nan,nan,nan,0.0,0.0,0.0,0.01148727671466128,0.02748542878135081,-1.6906617442885072,-0.053288768641682915,-0.0028679707699054424,-6.308691859762831e-05
