timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
109783569,-33.92473975183685,18.86638296642896,130.15044,160.22455,-0.0,0.98119897,1.6878854,0.0,2,0,0,0
110783627,-33.924748290330285,18.866382724227634,130.17255,160.29813,-0.0,0.98129576,1.6874608,0.0,2,0,0,0
111783684,-33.92474398293917,18.86638280481594,130.17215,160.3356,-0.0,0.9812896,1.687973,0.0,2,0,0,0
112783739,-33.924731699911014,18.866383285024597,130.2515,160.43597,-0.0,0.98113143,1.6875353,0.0,2,0,0,0
113783794,-33.92471782828219,18.866384007990995,130.24954,160.43103,-0.0,0.981194,1.6871064,0.0,2,0,0,0
114783848,-33.92470413083544,18.86638496163304,130.22281,160.39217,-0.0,0.9811324,1.6876262,0.0,2,0,0,0
115783901,-33.92469217533031,18.86638581669527,130.1594,160.31018,-0.0,0.981022,1.6872013,0.0,2,0,0,0
116784006,-33.92468016452317,18.866386904660388,130.16629,160.28902,-0.0,0.98117316,1.6877168,0.0,2,0,0,0
117784006,-33.92466894453002,18.866387751691395,130.08788,160.18246,-0.0,0.9811929,1.687288,0.0,2,0,0,0
118784059,-33.924657780490634,18.866388503376953,130.05693,160.12164,-0.0,0.9811976,1.6878108,0.0,2,0,0,0
119784108,-33.924647328943884,18.86638867531158,130.08365,160.11313,-0.0,0.98122525,1.6873873,0.0,2,0,0,0
120784159,-33.924636927312626,18.866389640556342,130.13904,160.11711,-0.0,0.98116624,1.6879051,0.0,2,0,0,0
121784216,-33.92462623387114,18.866390603325197,130.18376,160.09912,-0.0,0.9810617,1.6874833,0.0,2,0,0,0
122784260,-33.924614146097475,18.86639186630449,130.23442,160.08069,-0.0,0.9808798,1.6880026,0.0,2,0,0,0
123784310,-33.924602466021184,18.86639275063681,130.19681,159.97005,-0.0,0.9809933,1.6875757,0.0,2,0,0,0
124784393,-33.92459112461768,18.866393581293842,130.14465,159.8468,-0.0,0.9812628,1.687149,0.0,2,0,0,0
125784410,-33.92458023135859,18.866394433129575,130.08228,159.71288,-0.0,0.9812202,1.6876676,0.0,2,0,0,0
126784459,-33.9245694712942,18.866395083690726,130.0387,159.60638,-0.0,0.9810181,1.6872438,0.0,2,0,0,0
127784506,-33.924558976452595,18.866395627035764,130.02797,159.55273,-0.0,0.9808142,1.6877608,0.0,2,0,0,0
128784554,-33.92454770004283,18.866395816188657,130.05438,159.5411,-0.0,0.980595,1.6873312,0.0,2,0,0,0
129784605,-33.92453662003714,18.866396099451595,130.07204,159.53687,-0.0,0.98037815,1.6878463,0.0,2,0,0,0
130784649,-33.92452517892232,18.866396366305693,130.12483,159.58405,-0.0,0.9804502,1.6874224,0.0,2,0,0,0
131784695,-33.924514117682385,18.86639632091759,130.16174,159.62685,-0.0,0.9805193,1.6879416,0.0,2,0,0,0
132784776,-33.92450331778853,18.866396391521064,130.17964,159.63907,-0.0,0.9806891,1.6875104,0.0,2,0,0,0
133784787,-33.92449365707281,18.86639658170845,130.2719,159.72173,-0.0,0.98097664,1.6880256,0.0,2,0,0,0
134784833,-33.924491009031016,18.866395838253865,130.36461,159.80069,-0.0,0.9811015,1.6875972,0.0,2,0,0,0
135784878,-33.92449322683634,18.866396480802276,130.42638,159.82108,-0.0,0.98117614,1.6871709,0.0,2,0,0,0
136784923,-33.92449567559228,18.866397220442753,130.21332,159.54605,-0.0,0.98130864,1.6876863,0.0,2,0,0,0
137784967,-33.92449565953708,18.866396815966507,129.93224,159.21426,-0.0,0.98164,1.6872569,0.0,2,0,0,0
