timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
268869779,5.2464843,3.3322265,1,0,1,0,1,0,0
268879024,5.235205,3.3322265,1,0,1,0,1,0,0
268889671,5.243262,3.3547852,1,0,1,0,1,0,0
268898998,5.2335935,3.3273926,1,0,1,0,1,0,0
268909102,5.235205,3.3306153,1,0,1,0,1,0,0
268919148,5.240039,3.3531737,1,0,1,0,1,0,0
268929829,5.2368164,3.3515625,1,0,1,0,1,0,0
268939276,5.2110353,3.3290038,1,0,1,0,1,0,0
268949091,5.215869,3.3322265,1,0,1,0,1,0,0
268959140,5.231982,3.325781,1,0,1,0,1,0,0
268969226,5.24165,3.3306153,1,0,1,0,1,0,0
268979122,5.2513185,3.3547852,1,0,1,0,1,0,0
268989190,5.22876,3.3531737,1,0,1,0,1,0,0
268999294,5.240039,3.3290038,1,0,1,0,1,0,0
269009373,5.2271485,3.325781,1,0,1,0,1,0,0
269018989,5.240039,3.3322265,1,0,1,0,1,0,0
269029360,5.2368164,3.3273926,1,0,1,0,1,0,0
269038987,5.235205,3.3306153,1,0,1,0,1,0,0
269049278,5.231982,3.3290038,1,0,1,0,1,0,0
269059116,5.235205,3.3531737,1,0,1,0,1,0,0
269069315,5.220703,3.3306153,1,0,1,0,1,0,0
269078994,5.2142577,3.3273926,1,0,1,0,1,0,0
269089119,5.2126465,3.3483398,1,0,1,0,1,0,0
269099292,5.2335935,3.3547852,1,0,1,0,1,0,0
269109177,5.240039,3.3596191,1,0,1,0,1,0,0
269119286,5.2384276,3.349951,1,0,1,0,1,0,0
269130002,5.2384276,3.3306153,1,0,1,0,1,0,0
269139153,5.1610837,3.3290038,1,0,1,0,1,0,0
269149183,5.2464843,3.3306153,1,0,1,0,1,0,0
269159153,5.1594725,3.3515625,1,0,1,0,1,0,0
269169133,5.191699,3.3273926,1,0,1,0,1,0,0
269179010,5.1449704,3.3290038,1,0,1,0,1,0,0
269189684,5.2126465,3.3306153,1,0,1,0,1,0,0
269199013,5.2464843,3.3306153,1,0,1,0,1,0,0
269209393,5.2142577,3.319336,1,0,1,0,1,0,0
269218954,5.240039,3.3531737,1,0,1,0,1,0,0
269229577,5.1852536,3.3402832,1,0,1,0,1,0,0
269238921,5.220703,3.3273926,1,0,1,0,1,0,0
269249291,5.20459,3.3547852,1,0,1,0,1,0,0
269259106,5.1643066,3.3306153,1,0,1,0,1,0,0
269269154,5.2078123,3.3306153,1,0,1,0,1,0,0
269279175,5.231982,3.3273926,1,0,1,0,1,0,0
269289147,5.1626954,3.325781,1,0,1,0,1,0,0
269299307,5.24165,3.3547852,1,0,1,0,1,0,0
269309077,5.1691403,3.3290038,1,0,1,0,1,0,0
269319277,5.1723633,3.3290038,1,0,1,0,1,0,0
269329779,5.2480955,3.3273926,1,0,1,0,1,0,0
269339267,5.170752,3.3322265,1,0,1,0,1,0,0
269349221,5.240039,3.3306153,1,0,1,0,1,0,0
269358998,5.1981444,3.3290038,1,0,1,0,1,0,0
269369585,5.2029786,3.3273926,1,0,1,0,1,0,0
269379053,5.1610837,3.3290038,1,0,1,0,1,0,0
269389770,5.165918,3.3531737,1,0,1,0,1,0,0
269399009,5.2368164,3.3290038,1,0,1,0,1,0,0
269409376,5.219092,3.3515625,1,0,1,0,1,0,0
269419000,5.2223144,3.3563964,1,0,1,0,1,0,0
269429303,5.2094235,3.3531737,1,0,1,0,1,0,0
269438990,5.231982,3.3290038,1,0,1,0,1,0,0
269449135,5.231982,3.3306153,1,0,1,0,1,0,0
269459312,5.235205,3.3273926,1,0,1,0,1,0,0
269468210,5.2368164,3.338672,1,0,1,0,1,0,0
269479196,5.240039,3.3547852,1,0,1,0,1,0,0
269489177,5.2464843,3.3322265,1,0,1,0,1,0,0
269499122,5.2368164,3.3273926,1,0,1,0,1,0,0
269509119,5.235205,3.3290038,1,0,1,0,1,0,0
269519330,5.240039,3.3273926,1,0,1,0,1,0,0
269529122,5.235205,3.3547852,1,0,1,0,1,0,0
269539724,5.2335935,3.3306153,1,0,1,0,1,0,0
269549384,5.2335935,3.325781,1,0,1,0,1,0,0
269558999,5.2335935,3.3290038,1,0,1,0,1,0,0
269569642,5.2464843,3.3547852,1,0,1,0,1,0,0
269579122,5.24165,3.345117,1,0,1,0,1,0,0
269589288,5.240039,3.3563964,1,0,1,0,1,0,0
269599012,5.2335935,3.325781,1,0,1,0,1,0,0
269609304,5.231982,3.3515625,1,0,1,0,1,0,0
269619017,5.2384276,3.3306153,1,0,1,0,1,0,0
269629141,5.2335935,3.3580077,1,0,1,0,1,0,0
269639217,5.2142577,3.3322265,1,0,1,0,1,0,0
269649211,5.2094235,3.3290038,1,0,1,0,1,0,0
269659218,5.240039,3.3290038,1,0,1,0,1,0,0
269669188,5.240039,3.3547852,1,0,1,0,1,0,0
269679104,5.240039,3.3547852,1,0,1,0,1,0,0
269689063,5.2368164,3.3290038,1,0,1,0,1,0,0
269699164,5.24165,3.3515625,1,0,1,0,1,0,0
269709102,5.230371,3.3306153,1,0,1,0,1,0,0
269719011,5.2335935,3.3306153,1,0,1,0,1,0,0
269730062,5.231982,3.3322265,1,0,1,0,1,0,0
269739021,5.2384276,3.3563964,1,0,1,0,1,0,0
269749700,5.235205,3.3531737,1,0,1,0,1,0,0
269758966,5.2368164,3.3273926,1,0,1,0,1,0,0
269769321,5.2480955,3.338672,1,0,1,0,1,0,0
269779050,5.2335935,3.3290038,1,0,1,0,1,0,0
269789367,5.22876,3.3322265,1,0,1,0,1,0,0
269798968,5.2335935,3.3273926,1,0,1,0,1,0,0
269809199,5.2335935,3.3273926,1,0,1,0,1,0,0
269819284,5.235205,3.3306153,1,0,1,0,1,0,0
269829171,5.2335935,3.349951,1,0,1,0,1,0,0
269839574,5.231982,3.3290038,1,0,1,0,1,0,0
269849105,5.2464843,3.3580077,1,0,1,0,1,0,0
269859136,5.24165,3.3306153,1,0,1,0,1,0,0
269869166,5.206201,3.3338377,1,0,1,0,1,0,0
269879171,5.219092,3.3580077,1,0,1,0,1,0,0
269889105,5.231982,3.3290038,1,0,1,0,1,0,0
269898994,5.2335935,3.3290038,1,0,1,0,1,0,0
269909670,5.22876,3.3547852,1,0,1,0,1,0,0
269919001,5.235205,3.3306153,1,0,1,0,1,0,0
269928199,5.24165,3.3596191,1,0,1,0,1,0,0
269939009,5.165918,3.3596191,1,0,1,0,1,0,0
269949290,5.167529,3.3306153,1,0,1,0,1,0,0
269958987,5.170752,3.3322265,1,0,1,0,1,0,0
269969290,5.1691403,3.3290038,1,0,1,0,1,0,0
269979005,5.2271485,3.3290038,1,0,1,0,1,0,0
269989130,5.1610837,3.3338377,1,0,1,0,1,0,0
269999221,5.1884766,3.3322265,1,0,1,0,1,0,0
270009186,5.243262,3.3483398,1,0,1,0,1,0,0
270019160,5.157861,3.3580077,1,0,1,0,1,0,0
270029077,5.2368164,3.325781,1,0,1,0,1,0,0
270039296,5.230371,3.3547852,1,0,1,0,1,0,0
270049128,5.215869,3.325781,1,0,1,0,1,0,0
270059156,5.240039,3.3338377,1,0,1,0,1,0,0
270069164,5.165918,3.3322265,1,0,1,0,1,0,0
270079041,5.240039,3.3354492,1,0,1,0,1,0,0
270089385,5.230371,3.3322265,1,0,1,0,1,0,0
270099135,5.194922,3.3531737,1,0,1,0,1,0,0
270109367,5.196533,3.3290038,1,0,1,0,1,0,0
