timestamp,timestamp_sample,device_id,error_count,pressure,temperature
8722081,8721158,6780433,0,1001.0064,18.789999
8765412,8764491,6780433,0,1001.02936,18.789999
8808680,8807759,6780433,0,1001.0168,18.789999
8852019,8851095,6780433,0,1001.0194,18.8
8895279,8894358,6780433,0,1001.0193,18.789999
8938719,8937696,6780433,0,1001.02936,18.789999
8981962,8981041,6780433,0,1001.0219,18.8
9025187,9024267,6780433,0,1001.01404,18.789999
9068628,9067558,6780433,0,1001.0112,18.789999
9111779,9110858,6780433,0,1001.0087,18.789999
9155084,9154163,6780433,0,1001.01373,18.789999
9198387,9197459,6780433,0,1000.99567,18.779999
9241708,9240789,6780433,0,1000.9958,18.779999
9284999,9284058,6780433,0,1001.0112,18.789999
9328304,9327361,6780433,0,1001.0112,18.789999
9371579,9370659,6780433,0,1001.02136,18.789999
9414956,9413961,6780433,0,1001.0241,18.789999
9458315,9457361,6780433,0,1001.0293,18.789999
9501479,9500560,6780433,0,1001.02185,18.789999
9544862,9543862,6780433,0,1001.00116,18.789999
9588079,9587157,6780433,0,1001.0096,18.8
9631396,9630458,6780433,0,1001.01404,18.789999
9674684,9673761,6780433,0,1001.0096,18.8
9718103,9717078,6780433,0,1001.0201,18.81
9761278,9760357,6780433,0,1001.0173,18.8
9804611,9803659,6780433,0,1001.01776,18.81
9847929,9846958,6780433,0,1001.02295,18.81
9891194,9890273,6780433,0,1001.0075,18.81
9934623,9933663,6780433,0,1001.041,18.81
9977780,9976858,6780433,0,1001.00037,18.81
10021155,10020158,6780433,0,1001.0078,18.81
10064454,10063468,6780433,0,1001.00555,18.81
10107679,10106758,6780433,0,1001.0233,18.82
10150982,10150060,6780433,0,1001.0358,18.81
10194314,10193389,6780433,0,1001.00555,18.81
10237579,10236658,6780433,0,1000.9904,18.81
10280929,10279972,6780433,0,1001.0053,18.81
10324190,10323267,6780433,0,1000.99,18.81
10367489,10366558,6780433,0,1001.0255,18.81
