timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
7987081,7986877,-9.600968e-05,-0.0009681773,0.0025492904
8019598,8019380,-0.00039770448,-3.3328255e-05,0.002357627
8050835,8050633,-0.00020327556,0.0003073114,0.0018072948
8085840,8085637,0.00014813771,-0.00022533652,0.0020494324
8117101,8116890,4.0608113e-05,0.00011196273,0.0017709767
8152097,8151894,0.0012726688,-0.00036646548,0.0030633914
8183354,8183147,4.6060002e-05,-0.0007684884,0.0027744048
8218377,8218171,5.3695672e-05,0.0009108334,0.0018394539
8249610,8249404,-0.00060769235,0.0005260111,0.0023375968
8280860,8280657,-0.00037721382,-3.134506e-05,0.0013180751
8315864,8315661,-3.102697e-05,9.068534e-05,0.0013152704
8348373,8348166,-0.00016235652,-0.0003729575,0.0018038295
8383375,8383168,-0.00021786283,-0.0004737523,0.0023984893
8414630,8414425,0.00064251566,0.00023294942,0.0010356548
8449642,8449426,-0.00034846202,0.00015582182,0.0022520593
8480884,8480678,0.00017376489,0.00020454683,0.0017441055
8512133,8511931,0.00027527614,2.3482304e-05,0.002636662
8547137,8546935,-0.00026191713,0.00018851201,0.000722097
8578411,8578196,-0.0003325782,-0.00044937548,0.0023507606
8613404,8613192,-0.00095441967,7.0374095e-05,0.0017217327
8645903,8645696,-3.5706966e-05,-0.00012544342,0.0015865079
8680906,8680702,0.0005565499,-0.00039185514,0.0021389555
8712165,8711960,0.00011144457,7.356478e-05,0.0015841175
8743416,8743210,-0.001233641,-0.001034407,0.0019295393
8778422,8778215,4.5402674e-05,0.0008684582,0.0022571853
8809674,8809468,0.00056669035,-4.0537423e-05,0.0013295602
8844672,8844467,-0.0003966752,-0.00021695577,0.0014739117
8875924,8875720,0.00046907045,-0.0003063614,0.002078235
8910942,8910738,-0.00043596677,-0.00013070292,0.002319077
8943436,8943228,0.00033127333,0.00023968103,0.0015944222
8974689,8974483,-0.00075789844,0.00036688824,0.0015629331
9009691,9009487,0.00017425366,-0.0004557543,0.0014166893
9040940,9040737,0.00049091206,0.00012339551,0.0011177566
9075973,9075763,0.0008072456,-0.00033921542,0.0013939756
9107208,9106998,9.268261e-05,0.00011506825,0.0018078831
9142200,9141998,-0.0008552547,-0.0006065652,0.0015544187
9173456,9173251,-0.0005672469,3.7178568e-05,0.0014033072
9205959,9205755,-0.0006831431,-0.00040860736,0.0010952709
9240968,9240765,-0.000107650994,0.0012285742,0.0015457917
9272251,9272049,-0.00072700746,-0.00052337034,0.0010476082
9307223,9307015,0.0010464211,8.109286e-05,0.00043964002
9338477,9338268,-0.00039343184,-0.00025010743,0.00112007
9373478,9373272,0.00036406168,-0.00048670155,0.0010216149
9404734,9404526,-5.974655e-05,-0.0006354301,0.000831026
9435990,9435780,0.00048488058,-0.00058805296,0.001358936
