timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
53616109,0.08259694,-0.04790968,-0.205891
53649905,0.08566548,-0.04790968,-0.21186301
53683622,0.08566548,-0.04790968,-0.208877
53717395,0.08873403,-0.04790968,-0.20290501
53751108,0.08873403,-0.04790968,-0.20290501
53784863,0.08566548,-0.04790968,-0.20290501
53818621,0.08566548,-0.04790968,-0.205891
53852412,0.08873403,-0.04790968,-0.208877
53886156,0.08566548,-0.044954967,-0.20290501
53908681,0.08873403,-0.04790968,-0.205891
53953640,0.08566548,-0.04790968,-0.205891
53987385,0.08259694,-0.044954967,-0.205891
54009930,0.08873403,-0.044954967,-0.20290501
54043658,0.08873403,-0.044954967,-0.205891
54077441,0.08566548,-0.044954967,-0.205891
54111173,0.08566548,-0.042000253,-0.20290501
54144938,0.08873403,-0.036090814,-0.208877
54178735,0.08873403,-0.030181384,-0.21186301
54212436,0.08873403,-0.02427195,-0.208877
54246180,0.08259694,-0.021317236,-0.21186301
54279998,0.08873403,-0.021317236,-0.21484901
54313723,0.08873403,-0.021317236,-0.208877
54347501,0.08566548,-0.021317236,-0.205891
54381248,0.08873403,-0.018362517,-0.205891
54415013,0.08566548,-0.021317236,-0.21783501
54448739,0.08566548,-0.021317236,-0.21484901
54471201,0.08873403,-0.02427195,-0.21186301
54504970,0.08259694,-0.02427195,-0.21484901
54538732,0.08566548,-0.021317236,-0.205891
54583779,0.08259694,-0.021317236,-0.208877
54606215,0.08566548,-0.021317236,-0.21186301
54639980,0.08566548,-0.021317236,-0.21783501
54673768,0.08566548,-0.021317236,-0.208877
54707532,0.08566548,-0.021317236,-0.208877
54741232,0.08259694,-0.018362517,-0.208877
54775024,0.07952839,-0.015407802,-0.208877
54808791,0.07645985,-0.018362517,-0.205891
54842537,0.08259694,-0.015407802,-0.205891
54876263,0.07952839,-0.015407802,-0.208877
54898750,0.08259694,-0.015407802,-0.208877
54943802,0.07952839,-0.018362517,-0.208877
54977562,0.08259694,-0.018362517,-0.21484901
55000074,0.07952839,-0.015407802,-0.208877
55033780,0.08259694,-0.015407802,-0.21186301
55067524,0.08259694,-0.018362517,-0.21186301
55101275,0.07952839,-0.018362517,-0.205891
55135026,0.08566548,-0.015407802,-0.19991902
55169672,0.08259694,-0.018362517,-0.21186301
55203430,0.07952839,-0.018362517,-0.208877
55237194,0.07952839,-0.021317236,-0.21783501
55270905,0.08566548,-0.021317236,-0.21783501
55293416,0.07952839,-0.021317236,-0.208877
55338399,0.08566548,-0.021317236,-0.208877
55372185,0.08259694,-0.021317236,-0.208877
55394644,0.08259694,-0.02427195,-0.21186301
55428404,0.08259694,-0.021317236,-0.21484901
55462164,0.08566548,-0.02722667,-0.21484901
55495978,0.08259694,-0.02427195,-0.21186301
55529718,0.08259694,-0.02722667,-0.21783501
55563428,0.08566548,-0.02722667,-0.205891
55597186,0.08566548,-0.02722667,-0.21186301
55630963,0.08566548,-0.02722667,-0.21484901
55664715,0.08566548,-0.02722667,-0.21186301
55698477,0.08566548,-0.02722667,-0.208877
55732251,0.08566548,-0.02722667,-0.205891
55765991,0.08873403,-0.02722667,-0.208877
55799759,0.08259694,-0.02722667,-0.21186301
55833483,0.08566548,-0.02722667,-0.208877
55856067,0.08566548,-0.02722667,-0.205891
55889754,0.08259694,-0.030181384,-0.21186301
55923494,0.08259694,-0.030181384,-0.208877
55968518,0.08259694,-0.0331361,-0.21484901
55991133,0.08259694,-0.030181384,-0.22082102
56024832,0.08259694,-0.030181384,-0.205891
56058587,0.08259694,-0.0331361,-0.205891
56092273,0.07645985,-0.036090814,-0.21186301
56126034,0.07952839,-0.036090814,-0.208877
56159789,0.07952839,-0.036090814,-0.208877
56193609,0.07952839,-0.030181384,-0.21484901
56227364,0.08259694,-0.036090814,-0.208877
56261125,0.08259694,-0.0331361,-0.21484901
56283494,0.08259694,-0.0331361,-0.208877
56328540,0.07952839,-0.0331361,-0.21783501
56362297,0.07952839,-0.036090814,-0.21186301
56384759,0.07952839,-0.0331361,-0.205891
56418518,0.08259694,-0.0331361,-0.208877
56452281,0.07952839,-0.036090814,-0.21186301
56486033,0.07952839,-0.0331361,-0.21186301
56519837,0.08259694,-0.0331361,-0.21783501
56553571,0.07645985,-0.036090814,-0.21484901
56587284,0.07952839,-0.030181384,-0.205891
56621107,0.08259694,-0.0331361,-0.21783501
56654812,0.07645985,-0.036090814,-0.21186301
56688568,0.07645985,-0.036090814,-0.21484901
56722341,0.07645985,-0.036090814,-0.21783501
56756162,0.07952839,-0.036090814,-0.21186301
56778602,0.07645985,-0.036090814,-0.21186301
56823566,0.0733913,-0.036090814,-0.21186301
56846181,0.07952839,-0.036090814,-0.21186301
56879937,0.07645985,-0.03904553,-0.205891
56913617,0.07645985,-0.042000253,-0.208877
56958586,0.07952839,-0.042000253,-0.21484901
56981147,0.07645985,-0.03904553,-0.21484901
57014960,0.08259694,-0.03904553,-0.208877
57048694,0.07645985,-0.03904553,-0.21186301
57082461,0.07645985,-0.036090814,-0.205891
57116151,0.07952839,-0.03904553,-0.208877
57149868,0.07952839,-0.036090814,-0.21186301
57183607,0.07952839,-0.036090814,-0.205891
57217404,0.07645985,-0.036090814,-0.21484901
57251255,0.08259694,-0.036090814,-0.21484901
57284864,0.07952839,-0.042000253,-0.21186301
57318622,0.08259694,-0.042000253,-0.19991902
57352381,0.08259694,-0.042000253,-0.21783501
57374965,0.07952839,-0.042000253,-0.205891
57408646,0.08566548,-0.044954967,-0.21484901
57442400,0.08259694,-0.044954967,-0.205891
57476170,0.08566548,-0.044954967,-0.205891
57510005,0.08566548,-0.04790968,-0.205891
57543716,0.08566548,-0.04790968,-0.208877
57577472,0.08566548,-0.044954967,-0.205891
57611224,0.08873403,-0.04790968,-0.208877
57644954,0.08873403,-0.04790968,-0.205891
57678707,0.08873403,-0.04790968,-0.19991902
57712524,0.08873403,-0.044954967,-0.208877
57746286,0.091802575,-0.044954967,-0.193947
57768668,0.091802575,-0.044954967,-0.20290501
57813721,0.08873403,-0.044954967,-0.205891
57847471,0.08873403,-0.042000253,-0.208877
57881230,0.08873403,-0.042000253,-0.208877
57903681,0.08566548,-0.044954967,-0.208877
57937444,0.08873403,-0.042000253,-0.205891
57971199,0.08566548,-0.042000253,-0.205891
58004975,0.09487112,-0.042000253,-0.208877
58038736,0.091802575,-0.042000253,-0.205891
58073114,0.091802575,-0.042000253,-0.20290501
58106681,0.08873403,-0.042000253,-0.208877
58140438,0.091802575,-0.03904553,-0.19991902
58174140,0.091802575,-0.042000253,-0.205891
58207889,0.091802575,-0.03904553,-0.205891
58241673,0.091802575,-0.03904553,-0.205891
58275404,0.08873403,-0.042000253,-0.205891
58309167,0.08873403,-0.03904553,-0.19991902
58342915,0.08566548,-0.03904553,-0.21186301
58365449,0.091802575,-0.03904553,-0.205891
58399170,0.08566548,-0.036090814,-0.21186301
58444155,0.08873403,-0.036090814,-0.205891
58466705,0.08566548,-0.036090814,-0.208877
58500460,0.08873403,-0.036090814,-0.205891
58534219,0.08873403,-0.0331361,-0.19991902
58567935,0.08259694,-0.036090814,-0.205891
58601733,0.08259694,-0.036090814,-0.21484901
58635497,0.08566548,-0.036090814,-0.21186301
58669199,0.08566548,-0.0331361,-0.208877
58702947,0.08566548,-0.0331361,-0.21783501
58736731,0.08259694,-0.036090814,-0.21186301
58759244,0.08873403,-0.0331361,-0.208877
58804260,0.08566548,-0.0331361,-0.21186301
58838016,0.08566548,-0.0331361,-0.21186301
58860462,0.08259694,-0.0331361,-0.21186301
58894207,0.08259694,-0.0331361,-0.21186301
58927981,0.08566548,-0.0331361,-0.208877
58961726,0.08566548,-0.0331361,-0.205891
58995462,0.08259694,-0.0331361,-0.21783501
59029229,0.08566548,-0.036090814,-0.21186301
59062976,0.08259694,-0.0331361,-0.205891
59096745,0.08566548,-0.030181384,-0.205891
59130533,0.08566548,-0.0331361,-0.205891
59164236,0.08566548,-0.030181384,-0.21186301
